$no_mixed_refs,$rc_lookahead_40,$no_cabac,$no_8x8dct,$no_asm,$rc_lookahead,$ref_1,$no_fast_pskip,$no_weightb,$rc_lookahead_20,$ref_5,$no_mbtree,$ref_9,$no_deblock,$ref,$rc_lookahead_60,$<MainMemory, $<Performance
1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,284864.0,-1
0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,274058.666667,-1
1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,184736.0,-1
0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,392010.666667,-1
1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,509829.333333,-1
1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,168698.666667,-1
1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,168149.333333,-1
0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,527157.333333,-1
0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,409354.666667,-1
1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,185269.333333,-1
1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,224469.333333,-1
0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,392005.333333,-1
0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,168053.333333,-1
1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,224586.666667,-1
0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,225210.666667,-1
1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,392117.333333,-1
0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,168042.666667,-1
0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,324581.333333,-1
0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,566288.0,-1
0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,168170.666667,-1
0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,274074.666667,-1
0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,566848.0,-1
0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,560512.0,-1
1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,225184.0,-1
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,274794.666667,-1
0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,325269.333333,-1
1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,224576.0,-1
0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,224586.666667,-1
1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,274053.333333,-1
1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,566938.666667,-1
0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,443173.333333,-1
0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,185280.0,-1
1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,184602.666667,-1
1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,449200.0,-1
1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,330586.666667,-1
0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,168149.333333,-1
1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,168752.0,-1
0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,392101.333333,-1
1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,225088.0,-1
1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,566853.333333,-1
1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,225205.333333,-1
1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,185269.333333,-1
0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,274058.666667,-1
1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,274677.333333,-1
0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,184725.333333,-1
0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,225104.0,-1
1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,-1,260.636666667
0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,-1,773.463333333
0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,690.873333333
0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,-1,783.783333333
0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,-1,690.39
0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,-1,783.516666667
0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,683.52
0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,-1,683.543333333
0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,-1,775.81
0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,-1,775.68
1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,-1,561.846666667
1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,-1,244.433333333
1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,-1,652.483333333
1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,-1,556.63
1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,-1,645.51
1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,561.933333333
1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,555.633333333
1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,-1,651.64
1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,-1,644.16
1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,-1,561.97
1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,-1,652.373333333
1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,-1,561.333333333
1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,-1,249.73
1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,-1,651.2
1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,-1,556.34
1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,-1,555.18
1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,-1,645.38
1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,-1,644.033333333
0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,-1,604.746666667
0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,-1,612.643333333
0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,-1,604.123333333
1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,-1,511.153333333
1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,-1,244.276666667
1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,-1,510.856666667
1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,-1,509.37
1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,-1,509.033333333
0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,-1,721.563333333
0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,-1,712.916666667
1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,-1,580.876666667
1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,-1,576.41
0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,-1,722.036666667
1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,-1,580.626666667
0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,-1,712.636666667
1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-1,249.44
1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,-1,576.276666667
0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,587.773333333
0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,581.513333333
0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,-1,587.24
0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,-1,581.106666667
0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,-1,687.6
0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,-1,687.146666667
0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,-1,680.556666667
0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,-1,680.476666667
1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,498.49
1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,-1,287.086666667
1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,493.276666667
1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,-1,561.96
1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,-1,556.513333333
1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,-1,497.99
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,-1,562.066666667
1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,-1,492.936666667
1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,-1,556.306666667
0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,-1,741.59
0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,-1,731.353333333
0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,-1,741.206666667
1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,-1,286.43
0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,-1,731.216666667
1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,-1,632.126666667
1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,-1,632.063333333
1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,-1,628.756666667
1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,-1,628.496666667
0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,-1,712.54
0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,-1,705.396666667
1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,-1,616.686666667
1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,-1,610.956666667
0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,-1,712.666666667
1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,-1,275.993333333
1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,-1,616.61
0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,-1,705.213333333
1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,-1,610.686666667
0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,-1,818.04
0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,-1,807.273333333
0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,-1,817.34
0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,-1,807.0
0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,-1,780.93
0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,-1,780.756666667
0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,-1,773.386666667
1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,-1,275.416666667
0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,-1,773.22
1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,-1,672.413333333
1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,-1,666.503333333
1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,-1,652.653333333
1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,-1,645.54
1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,-1,672.213333333
1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,-1,652.433333333
1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,-1,666.493333333
1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,-1,645.303333333
0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,-1,616.62
1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,-1,291.66
0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,-1,607.536666667
0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,-1,616.086666667
0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,-1,607.033333333
1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,-1,510.183333333
1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,-1,510.016666667
1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,-1,508.34
1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,-1,508.003333333
0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,-1,726.79
0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,-1,715.993333333
1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,-1,580.543333333
1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,-1,279.753333333
1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,-1,575.7
0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,-1,726.643333333
1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,-1,580.576666667
0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,-1,715.906666667
1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,-1,575.396666667
0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,-1,744.893333333
0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,-1,733.776666667
0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,-1,744.26
0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,-1,733.216666667
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,-1,821.526666667
1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,-1,291.043333333
0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,-1,821.756666667
0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,-1,809.97
0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,-1,809.5
1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,-1,631.283333333
1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,-1,627.5
1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,-1,671.696666667
1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,-1,665.293333333
1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,-1,631.053333333
1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,-1,671.5
1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,-1,627.24
1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,-1,279.153333333
1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,-1,665.23
0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,-1,590.18
0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,-1,583.526666667
0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,-1,589.74
0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,-1,583.426666667
1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,-1,497.333333333
1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,-1,496.78
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,-1,492.13
1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,-1,491.696666667
0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,-1,715.25
1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,-1,254.706666667
0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,-1,706.833333333
1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,-1,615.093333333
1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,-1,609.2
0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,-1,714.666666667
1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,-1,615.06
0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,-1,706.59
1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,-1,608.68
0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,-1,690.716666667
0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,-1,683.763333333
0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,-1,690.216666667
1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,-1,254.013333333
0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,-1,683.256666667
0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,-1,783.876666667
0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,-1,783.776666667
0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,-1,775.663333333
0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,-1,775.54
1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,-1,561.743333333
1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,-1,555.613333333
1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,-1,651.49
1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,-1,644.356666667
1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,-1,561.42
1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,-1,261.206666667
1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,-1,651.286666667
1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,-1,555.26
1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,-1,643.983333333
1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,-1,260.55
1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,-1,287.086666667
1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,-1,291.61
1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,-1,286.44
0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,-1,259.903333333
1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,-1,290.916666667
1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,-1,244.333333333
1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,-1,244.28
1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,-1,276.026666667
